
words_small.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,1000,731,7,528,0.528
djb2,1000,630,7,628,0.628
fnv_hash,1000,593,5,646,0.646
jenkins,1000,607,5,644,0.644

words_medium.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,9997,9702,38,1328,0.13283985195558667
djb2,9997,6327,6,6309,0.6310893267980394
fnv_hash,9997,6282,6,6341,0.6342902870861259
jenkins,9997,6250,6,6379,0.6380914274282284

words_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,99841,99641,296,1852,0.018549493694975012
djb2,99841,63016,7,63117,0.6321751585020182
fnv_hash,99841,63137,8,63042,0.6314239641029237
jenkins,99841,63243,8,63035,0.6313538526256748

words_x_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,199424,199269,573,1983,0.009943637676508344
djb2,199424,126539,8,125598,0.6298038350449294
fnv_hash,199424,126687,8,125638,0.6300044127086007
jenkins,199424,125910,9,126043,0.6320352615532734

words_small.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,1000000,673,7,569,0.000569
djb2,1000000,2,2,999,0.000999
fnv_hash,1000000,0,0,1000,0.001
jenkins,1000000,0,0,1000,0.001

words_medium.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,1000000,9702,38,1328,0.001328
djb2,1000000,136,2,9929,0.009929
fnv_hash,1000000,112,2,9941,0.009941
jenkins,1000000,138,2,9928,0.009928

words_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,1000000,99641,296,1852,0.001852
djb2,1000000,9923,4,94789,0.094789
fnv_hash,1000000,9869,5,94820,0.09482
jenkins,1000000,9865,5,94818,0.094818

words_x_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,1000000,199269,573,1983,0.001983
djb2,1000000,37500,5,180003,0.180003
fnv_hash,1000000,37197,5,180154,0.180154
jenkins,1000000,37564,6,179957,0.179957

words_small.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,10000000,673,7,569,5.69e-05
djb2,10000000,0,0,1000,0.0001
fnv_hash,10000000,0,0,1000,0.0001
jenkins,10000000,0,0,1000,0.0001

words_medium.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,10000000,9702,38,1328,0.0001328
djb2,10000000,30,2,9982,0.0009982
fnv_hash,10000000,18,2,9988,0.0009988
jenkins,10000000,22,2,9986,0.0009986

words_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,10000000,99641,296,1852,0.0001852
djb2,10000000,1507,3,99086,0.0099086
fnv_hash,10000000,1530,3,99074,0.0099074
jenkins,10000000,1509,3,99084,0.0099084

words_x_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,10000000,199269,573,1983,0.0001983
djb2,10000000,6124,3,196342,0.0196342
fnv_hash,10000000,6152,3,196328,0.0196328
jenkins,10000000,5993,3,196413,0.0196413

words_small.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,100000000,673,7,569,5.69e-06
djb2,100000000,0,0,1000,1e-05
fnv_hash,100000000,0,0,1000,1e-05
jenkins,100000000,0,0,1000,1e-05

words_medium.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,100000000,9702,38,1328,1.328e-05
djb2,100000000,12,2,9991,9.991e-05
fnv_hash,100000000,12,2,9991,9.991e-05
jenkins,100000000,12,2,9991,9.991e-05

words_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,100000000,99641,296,1852,1.852e-05
djb2,100000000,627,3,99527,0.00099527
fnv_hash,100000000,626,2,99528,0.00099528
jenkins,100000000,617,3,99532,0.00099532

words_x_large.txt
Hash,Size,Collisions,Highest,Filled Spot,Load
simple_hash,100000000,199269,573,1983,1.983e-05
djb2,100000000,2606,3,198120,0.0019812
fnv_hash,100000000,2610,3,198117,0.00198117
jenkins,100000000,2586,2,198131,0.00198131
